"filename", "language", "TypeScript", "Vue", "XML", "comment", "blank", "total"
"d:\VSCode\Programs\my-vite-proj01\components.d.ts", "TypeScript", 9, 0, 0, 0, 0, 9
"d:\VSCode\Programs\my-vite-proj01\src\Apptest.vue", "Vue", 0, 6, 0, 0, 1, 7
"d:\VSCode\Programs\my-vite-proj01\src\assets\buyed.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\cloud.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\download.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\more.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\newcreate.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\recent.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\components\blog\indexBlog.vue", "Vue", 0, 5, 0, 0, 1, 6
"d:\VSCode\Programs\my-vite-proj01\src\components\bottomPopUp.vue", "Vue", 0, 5, 0, 0, 1, 6
"d:\VSCode\Programs\my-vite-proj01\src\components\moments\indexMoment.vue", "Vue", 0, 5, 0, 0, 1, 6
"d:\VSCode\Programs\my-vite-proj01\src\components\music\indexMusic.vue", "Vue", 0, 55, 0, 1, 3, 59
"d:\VSCode\Programs\my-vite-proj01\src\components\music\music\ablums.vue", "Vue", 0, 5, 0, 0, 1, 6
"d:\VSCode\Programs\my-vite-proj01\src\components\music\music\collection.vue", "Vue", 0, 5, 0, 0, 1, 6
"d:\VSCode\Programs\my-vite-proj01\src\components\music\music\create.vue", "Vue", 0, 38, 0, 0, 5, 43
"d:\VSCode\Programs\my-vite-proj01\src\components\music\music\recent.vue", "Vue", 0, 5, 0, 0, 1, 6
"d:\VSCode\Programs\my-vite-proj01\src\components\newCreate.vue", "Vue", 0, 49, 0, 2, 5, 56
"d:\VSCode\Programs\my-vite-proj01\src\components\reply.vue", "Vue", 0, 0, 0, 0, -1, -1
"d:\VSCode\Programs\my-vite-proj01\src\components\songHistory.vue", "Vue", 0, 5, 0, 0, 0, 5
"d:\VSCode\Programs\my-vite-proj01\src\store\bottomPop.ts", "TypeScript", 2, 0, 0, 0, 0, 2
"d:\VSCode\Programs\my-vite-proj01\src\store\newCreate.ts", "TypeScript", 20, 0, 0, 0, 3, 23
"d:\VSCode\Programs\my-vite-proj01\src\views\comment.vue", "Vue", 0, 4, 0, 1, 0, 5
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\index.vue", "Vue", 0, 0, 0, 1, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\user.vue", "Vue", 0, 104, 0, 9, 5, 118
"d:\VSCode\Programs\my-vite-proj01\src\views\songList.vue", "Vue", 0, 1, 0, 0, 0, 1
"Total", "-", 31, 292, 6, 14, 27, 370
